[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [8 34 16 20.0 49]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [22 35 20 20.0 52]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [18 36 27 20.0 53]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [11 37 35 20.0 56]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [24 38 37 20.0 69]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [26 39 38 20.0 70]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [2 40 32 20.0 72]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [12 41 8 20.0 73]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [31 42 5 20.0 76]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [19 43 24 20.0 78]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [28 44 39 20.0 82]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [15 45 11 20.0 83]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [17 46 2 20.0 85]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [34 47 12 20.0 91]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [33 48 34 20.0 93]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [30 49 26 20.0 95]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [36 50 46 20.0 96]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [18 51 48 20.0 97]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [2 20 11 20.0 1]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [0 21 1 20.0 2]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [19 22 8 20.0 3]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [13 23 14 20.0 8]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [6 24 9 20.0 29]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [17 25 18 20.0 31]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [15 26 26 20.0 35]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [5 27 4 20.0 36]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [7 28 15 20.0 37]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [20 29 20 20.0 39]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [3 30 6 20.0 41]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [22 31 7 20.0 42]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [2 32 29 20.0 43]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [12 33 19 20.0 44]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [16 34 33 20.0 45]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [21 35 2 20.0 46]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [10 36 36 20.0 49]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [23 37 5 20.0 50]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [0 38 30 20.0 53]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [24 39 27 20.0 69]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [25 40 21 20.0 70]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [17 41 32 20.0 72]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [13 42 12 20.0 76]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [3 43 35 20.0 82]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [28 44 16 20.0 86]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [23 45 22 20.0 88]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [31 46 17 20.0 89]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [0 47 34 20.0 90]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [10 48 28 20.0 94]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [38 49 0 20.0 95]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [39 50 49 20.0 107]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [25 51 38 20.0 108]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [24 52 13 20.0 109]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [41 53 23 20.0 120]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [40 54 3 20.0 121]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [37 55 37 20.0 122]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [43 56 48 20.0 123]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [47 57 57 20.0 128]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [31 58 52 20.0 130]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [46 59 44 20.0 131]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [10 60 10 20.0 132]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [42 61 31 20.0 138]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [45 62 45 20.0 146]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [39 63 39 20.0 148]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [50 64 61 20.0 156]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [41 65 42 20.0 158]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [24 66 50 20.0 159]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [40 67 55 20.0 160]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [54 68 65 20.0 162]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [43 69 63 20.0 163]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [56 70 46 20.0 164]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [47 71 56 20.0 166]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [58 72 25 20.0 168]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [53 73 72 20.0 169]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [51 74 71 20.0 172]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [60 75 59 20.0 174]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [24 76 40 20.0 196]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [64 77 54 20.0 198]
[Dividing cell, Divided cell, Dying cell, Total cell, Time] = [41 78 51 20.0 199]
